Comment,Designator,Footprint,LCSC,Quantity
Conn_01x02_Pin,J1,AMASS_XT60PW-M,,1
Conn_01x02_Pin,J9,AMASS_XT60PW-F,,1
Conn_01x02_Pin,J6,AMASS_XT60PW-F,,1
Conn_01x02_Pin,J3,AMASS_XT60PW-F,,1
Conn_01x02_Pin,J5,AMASS_XT60PW-F,,1
Conn_01x02_Pin,J11,AMASS_XT60-F,,1
Conn_01x02_Pin,J10,AMASS_XT60-F,,1
1000u,C4,CP_Radial_D16.0mm_P7.50mm,,1
7.5k,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
Conn_01x02_Pin,J4,AMASS_XT60PW-F,,1
Conn_01x02_Pin,J2,AMASS_XT60PW-F,,1
Conn_01x02_Pin,J7,AMASS_XT60PW-F,,1
Conn_01x02_Pin,J8,AMASS_XT60PW-F,,1
LED,D1,LED_D5.0mm,,1
1000u,C3,CP_Radial_D16.0mm_P7.50mm,,1
SMLJ24A-Q,D2,SMCJSeries_LTF,,1
